id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
161463,The Boss- 2 bedroom with balcony,319901,Ralf,,Palermo,-34.58101,-58.42503,Entire home/apt,19542,3,171,2022-09-11,1.40,24,264,26,
166846,PENTHOUSE Duplex in Palermo with RooftopTerrace!!,794906,Jesse,,Villa Crespo,-34.59161,-58.44006,Entire home/apt,12221,5,73,2022-08-13,0.54,4,249,14,
48678,Grate & Luxury apartment Recoleta,221661,Ricardo,,Recoleta,-34.58507,-58.395,Private room,19355,3,1,2010-12-30,0.01,2,353,0,
50778,Gorgeous 2bdrm in Awesome Recoleta,233651,Cameron,,Recoleta,-34.58978,-58.40011,Entire home/apt,8685,5,97,2022-05-24,0.67,6,173,1,
52511,San Telmo Apartment (Buenos Aires),242939,Gri,,San Nicolas,-34.60767,-58.37257,Entire home/apt,10133,4,0,,,1,365,0,
168298,Boutique Central Apt in BuenosAires,802023,Ana,,Balvanera,-34.60554,-58.3938,Entire home/apt,11580,5,18,2018-11-30,0.14,1,362,0,
53097,Duplex-Loft in  Historic Quartier of Buenos Aires,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,10133,2,37,2022-07-05,0.26,9,326,1,
53905,Trendy studio in Villa Crespo!,252182,Victoria,,Villa Crespo,-34.59969,-58.4399,Entire home/apt,4343,3,89,2022-08-26,0.61,1,148,11,
61282,Loft with Balcony in Belgrano,296398,Alejandro,,Nuñez,-34.55396,-58.46753,Entire home/apt,5066,3,142,2022-01-16,0.99,1,300,1,
172118,Owner Featured on HGTV- Spacious Palermo Soho Loft,791090,Jamais,,Palermo,-34.58735,-58.42186,Entire home/apt,12883,4,75,2022-08-28,0.56,1,85,7,
65446,Luxury Premier Loft with Breathtaking Views  ★★★★★,319901,Ralf,,Palermo,-34.58102,-58.42349,Entire home/apt,14268,3,165,2022-08-29,1.22,24,310,5,
172135,Recoleta full equipped Apartment,523775,Silvia  Diana,,Recoleta,-34.58983,-58.39786,Entire home/apt,5645,3,73,2022-08-28,0.55,1,29,12,
65513,Comfortable apartment for 5 in BsAs,320183,Hortensia,,Retiro,-34.59849,-58.3774,Entire home/apt,9409,30,7,2022-08-31,0.06,4,283,2,
175005,1 BR flat in Palermo Soho,836368,Daniele,,Palermo,-34.5862,-58.42465,Entire home/apt,5356,3,183,2022-09-19,1.36,3,128,9,
65519,Great Apartment in Las Cañitas (Palermo) for 6,320183,Hortensia,,Palermo,-34.56958,-58.42978,Entire home/apt,11435,12,17,2022-05-24,0.16,4,316,4,
175081,1 BR flat in Palermo,836368,Daniele,,Palermo,-34.58926,-58.41942,Entire home/apt,4922,3,141,2022-09-03,1.09,3,124,10,
66939,"★ Instaworthy Views, 20th Floor ★ Gym",319901,Ralf,,Palermo,-34.58267,-58.42497,Entire home/apt,10133,4,281,2022-09-05,2.08,24,249,18,
176318,San Telmo Vintage - Art Experience Fully Renovated,843196,Ivan,,Monserrat,-34.6156,-58.36843,Entire home/apt,7465,4,177,2022-09-07,1.39,1,275,23,20272876925
66940,Pool View studio  ❤,319901,Ralf,,Palermo,-34.58272,-58.42382,Entire home/apt,7238,3,236,2022-08-20,1.83,24,316,13,
68489,Best Block in Palermo Hollywood,4405670,Andy,,Palermo,-34.58045,-58.43208,Entire home/apt,7527,3,147,2022-07-18,1.05,8,364,5,
68800,Recoleta great penthouse  w/private terrace &grill,221405,Ximena,,Recoleta,-34.59278,-58.3876,Private room,55875,1,76,2020-01-03,0.64,1,242,0,
178330,"3 Bedrooms / 2 Bathroom, Off & Ldy Apt in Palermo",853184,Juan,,Palermo,-34.58712,-58.42184,Entire home/apt,9409,20,8,2022-08-13,0.41,3,174,5,
68868,"Luxury Soho Sky Loft , Dream View Apartment ★★★★★",319901,Ralf,,Palermo,-34.58165,-58.42527,Entire home/apt,12304,3,277,2022-09-15,2.03,24,249,26,
69063,"Beautiful, great location, quiet, Nespresso.",344599,Danilo,,Recoleta,-34.5956,-58.39573,Entire home/apt,6472,1,271,2022-09-15,2.08,5,285,55,
180692,Tango and Enjoyment of Buenos Aires,865765,Hector,,Villa Urquiza,-34.57624,-58.48314,Private room,10133,5,0,,,1,365,0,
69086,Little Duplex Loft (1) San Telmo,64880,Elbio Mariano,,Monserrat,-34.61495,-58.37517,Entire home/apt,5790,2,39,2020-01-19,0.33,9,321,0,
69880,"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",315089,Max,,Palermo,-34.57797,-58.43821,Entire home/apt,17370,5,26,2022-09-12,0.19,5,315,1,
70082,High category appartment Belgrano,353823,Maria De Los Angeles,,Palermo,-34.56926,-58.4437,Entire home/apt,4343,20,40,2022-03-05,0.29,1,285,1,
181627,RENT APP ARTS,870611,Pablo,,Palermo,-34.5845,-58.41291,Private room,18818,30,0,,,1,365,0,
71801,Studio in Recoleta most secure area,368954,Carlos,,Recoleta,-34.59514,-58.39914,Entire home/apt,5790,3,101,2022-08-30,0.72,1,316,9,
72204,Beautiful house in Palermo SOHO,373629,Daniel,,Palermo,-34.5902,-58.42993,Entire home/apt,50374,3,23,2021-06-06,0.28,10,323,0,
186005,Modern apartment in Downtown Buenos Aires,893209,Victoria,,Retiro,-34.59804,-58.37688,Entire home/apt,7445,4,58,2022-07-24,0.44,3,320,11,
73180,Palermo Apt - Las Cañitas area,161327,Mariano,,Palermo,-34.57213,-58.43294,Entire home/apt,4343,14,38,2022-08-28,0.30,12,282,8,
74383,Penthouse 2BR with River&Sunrise views,319901,Ralf,,Palermo,-34.58706,-58.43417,Entire home/apt,21713,3,126,2022-09-15,0.94,24,210,38,
75094,Amazing apartment in Recoleta,161327,Mariano,,Recoleta,-34.58918,-58.39518,Entire home/apt,5066,14,132,2022-09-18,0.94,12,317,15,
188154,At the heart of San Telmo  Double,906277,Magdalena,,San Telmo,-34.62063,-58.36967,Private room,4343,2,67,2022-07-24,0.52,3,325,9,
190988,Beautiful apartment in Las Cañitas,320183,Hortensia,,Palermo,-34.57133,-58.42975,Entire home/apt,11435,10,31,2022-07-25,0.26,4,17,7,
191056,"Big sunny, central Studio",923804,Annatina Luck,,Monserrat,-34.61308,-58.38862,Entire home/apt,3908,10,11,2019-11-12,0.08,1,268,0,
75492,Studio Loft in Palermo Soho #1,400828,Jony,,Palermo,-34.589,-58.42024,Entire home/apt,5066,2,340,2022-06-17,2.60,3,234,11,
75526,GUAPO / Amazing Large Studio* with great views.🎈,319901,Ralf,,Palermo,-34.58261,-58.42345,Entire home/apt,8685,4,124,2022-08-27,0.91,24,325,19,
76005,"Heart of Recoleta, no better place!",315089,Max,,Recoleta,-34.59014,-58.39386,Entire home/apt,5790,5,6,2013-08-17,0.04,5,264,0,
197288,Beautiful studio in heart Recoleta,961397,Marisa,,Recoleta,-34.5913,-58.39037,Entire home/apt,5980,7,1,2012-02-22,0.01,1,362,0,
77404,Beautiful Duplex - Trendy Palermo,161327,Mariano,,Palermo,-34.56692,-58.43324,Entire home/apt,5066,14,29,2022-08-31,0.23,12,321,6,
77704,PALERMO SOHO Cheap Little Apt,417020,Jorge Fernando,,Palermo,-34.58236,-58.42726,Entire home/apt,5066,7,119,2020-03-22,0.87,1,51,0,
203340,Amazing view - GREAT Studio - Balcony,530261,Luciano,,Palermo,-34.58104,-58.42495,Entire home/apt,8685,14,12,2022-05-13,0.09,27,287,3,
77994,Studio 1A - Corazon de San Telmo,64880,Elbio Mariano,,San Telmo,-34.62014,-58.37371,Entire home/apt,5790,3,5,2019-08-03,0.04,9,338,0,
205781,ART HOUSE PALERMO HOLLYWOOD 2 rooms,1011896,Natalia,,Palermo,-34.57945,-58.43024,Entire home/apt,24815,1,20,2022-07-31,0.15,12,364,1,
206738,ART HOUSE PALERMO HOLLYWOOD 3 rooms 8 to 12 people,1011896,Natalia,,Palermo,-34.57819,-58.42964,Entire home/apt,39290,1,42,2019-03-17,0.32,12,332,0,
78005,"SOFA STUDIO, SAN TELMO, 1B",64880,Elbio Mariano,,San Telmo,-34.61998,-58.37151,Entire home/apt,7238,2,15,2019-08-22,0.11,9,322,0,
78009,STUDIO DEFENSA 2A en San Telmo,64880,Elbio Mariano,,San Telmo,-34.61998,-58.37151,Entire home/apt,10133,2,43,2022-04-12,0.31,9,320,1,
78014,STUDIO SOFA CAMA & PATIO,64880,Elbio Mariano,,San Telmo,-34.61998,-58.37151,Entire home/apt,4343,3,24,2019-05-13,0.18,9,332,0,
78068,Lovely Place at a GREAT Location!,419383,Mariana Y Sebas,,Palermo,-34.58246,-58.4034,Entire home/apt,7961,5,22,2022-07-18,0.16,7,241,3,
210040,Bonito Studio in Palermo w/balcony,319901,Ralf,,Palermo,-34.58144,-58.42311,Entire home/apt,8685,4,74,2022-09-17,0.57,24,269,15,
218781,Amazing Palermo Hollywood Loft A,161327,Mariano,,Palermo,-34.57874,-58.4397,Entire home/apt,5790,14,65,2020-01-29,0.49,12,205,0,
225905,in Style Recoleta Buenos Aires 1,36441,Robert,,Recoleta,-34.59643,-58.39188,Entire home/apt,9988,3,26,2022-03-22,0.20,2,365,1,
78351,"Apt in Palermo, Las Cañitas",420786,Carola,,Palermo,-34.5752,-58.43102,Entire home/apt,8540,10,11,2020-01-19,0.09,3,295,0,
229571,Encantador Apartamento a pasos del Jardin Botanico,514200,Ceferina De Jesus,,Palermo,-34.58373,-58.4185,Entire home/apt,5066,30,20,2022-06-19,0.15,2,286,3,
78685,Luminous Palermo 1BDR Apartment,419383,Mariana Y Sebas,,Palermo,-34.58349,-58.40625,Entire home/apt,6411,2,43,2022-04-09,0.31,7,327,4,
235667,San Telmo Barracas Design District!,1105513,Luciano Or Julio,,Barracas,-34.64419,-58.37696,Entire home/apt,9988,1,32,2022-05-28,0.38,8,353,3,
78703,"Amazing Studio w/Terrace & BBQ ""Heart of Recoleta""",422878,Oscar,,Recoleta,-34.59446,-58.39588,Entire home/apt,5790,1,193,2022-02-09,1.47,2,235,4,
238513,EXCLUSIVE LOFT IN PALERMO HOLLYWOOD,87710233,María,,Palermo,-34.58106,-58.43366,Entire home/apt,3557,7,43,2022-08-10,0.33,3,301,3,
79226,Petite Home,426420,Carolina,,Nuñez,-34.55235,-58.4581,Entire home/apt,3619,20,47,2022-05-06,0.35,1,304,3,
238619,Best Recoleta´s Loft. Arch Designer,1192725,Claudio,,Recoleta,-34.59449,-58.4013,Entire home/apt,5066,3,38,2022-07-09,0.30,1,335,15,
79247,"Beautiful Apt in great location, 100% Good Reviews",426566,Egle,,Boedo,-34.6212,-58.41753,Entire home/apt,3359,6,55,2022-09-10,0.39,8,257,9,
239718,Amazing Studio - Pool,530261,Luciano,,Palermo,-34.58705,-58.42106,Entire home/apt,6080,14,29,2022-06-02,0.22,27,355,6,
79766,!Amazing 1Bdr - Great Terrace - BBQ - Sun - View!!,422878,Oscar,,Recoleta,-34.59118,-58.39664,Entire home/apt,8685,1,191,2022-08-27,1.51,2,220,13,
