id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19463106,Modern comfortable apart. in Parque das Nações,11924532,Diogo & Filipa,Lisboa,Parque das Naes,38.77696,-9.09682,Entire home/apt,78,3,90,2022-08-10,1.42,6,233,17,62541/AL
19370050,Bairro Alto Principe Real Charming Apartment,14317794,Bernardo E Ana Rita,Lisboa,Misericrdia,38.71519,-9.14461,Entire home/apt,120,3,108,2022-08-20,1.71,23,130,21,51055/AL
19593086,"LOFT 2    Suite Familiar  ,  Piscina Aquecida 28°",137735251,Edith,Sintra,Rio de Mouro,38.74739,-9.33709,Entire home/apt,65,4,53,2020-10-03,0.84,3,0,0,50186/AL
19598396,Casa Belo Horizonte,94523889,Maria,Lourinh,Lourinh e Atalaia,39.2198,-9.31637,Entire home/apt,55,4,34,2022-09-06,0.54,1,323,3,59255/AL
19371131,VDS Guesthouse Cosy Apartment in City Center !NEW!,28246035,Claudia,Lisboa,Santo Antnio,38.71725,-9.14493,Entire home/apt,95,2,183,2022-08-11,2.90,1,271,23,45766/AL
19599641,"House Sintra/Cascais, B&B.FREE. Wi-Fi Pets Welcome",135352574,Ani,Sintra,Rio de Mouro,38.75665,-9.34542,Private room,53,2,9,2019-07-17,0.14,1,0,0,
19465347,ALMARIA -  apartamento para 4 pessoas,104685910,Alzira Maria,Amadora,Mina de gua,38.7688,-9.2301,Entire home/apt,51,2,171,2022-09-04,2.70,2,47,32,51387/AL
19374187,Moradia espaçosa à beira da praia,69504355,Ana,Mafra,Ericeira,38.95582,-9.41404,Entire home/apt,140,3,31,2022-09-05,0.50,1,4,8,52404/AL
19465386,Riverfront studio,50402382,Constança,Lisboa,Alcntara,38.70413,-9.18289,Entire home/apt,78,2,23,2022-09-07,0.36,1,8,3,61884/AL
19470085,Garden Quiet and Modern Apartment 31 by Lisbonne C,34827624,Lisbonne,Lisboa,So Vicente,38.72111,-9.12432,Entire home/apt,132,1,49,2022-09-11,0.80,41,324,27,
